model,year,actual_winner,predicted_winner,correctly_predicted_games,prediction_accuracy,espn_points
Logistic Regression,2012,KENTUCKY,MISSOURI,16,25.396825396825395,220
Decision Tree,2012,KENTUCKY,DETROIT-MERCY,11,17.46031746031746,120
Random Forest,2012,KENTUCKY,KENTUCKY,34,53.96825396825397,1020
Logistic Regression,2013,LOUISVILLE,INDIANA,23,36.507936507936506,320
Decision Tree,2013,LOUISVILLE,FLORIDA-GULF-COAST,13,20.634920634920633,160
Random Forest,2013,LOUISVILLE,LOUISVILLE,30,47.61904761904761,900
Logistic Regression,2014,CONNECTICUT,CREIGHTON,25,39.682539682539684,340
Decision Tree,2014,CONNECTICUT,WOFFORD,8,12.698412698412698,80
Random Forest,2014,CONNECTICUT,VIRGINIA,32,50.79365079365079,500
Logistic Regression,2015,DUKE,NOTRE-DAME,27,42.857142857142854,490
Decision Tree,2015,DUKE,TEXAS-SOUTHERN,5,7.936507936507936,50
Random Forest,2015,DUKE,DUKE,43,68.25396825396825,1270
Logistic Regression,2016,VILLANOVA,INDIANA,39,61.904761904761905,840
Decision Tree,2016,VILLANOVA,WEBER-STATE,13,20.634920634920633,130
Random Forest,2016,VILLANOVA,KANSAS,33,52.38095238095239,630
Logistic Regression,2017,NORTH-CAROLINA,SAINT-MARYS-CA,25,39.682539682539684,390
Decision Tree,2017,NORTH-CAROLINA,NORTH-DAKOTA,6,9.523809523809524,60
Random Forest,2017,NORTH-CAROLINA,KANSAS,36,57.14285714285714,640
Logistic Regression,2018,VILLANOVA,GONZAGA,27,42.857142857142854,490
Decision Tree,2018,VILLANOVA,LIPSCOMB,11,17.46031746031746,130
Random Forest,2018,VILLANOVA,VILLANOVA,36,57.14285714285714,1090
Logistic Regression,2019,VIRGINIA,GONZAGA,29,46.03174603174603,520
Decision Tree,2019,VIRGINIA,BRADLEY,12,19.047619047619047,120
Random Forest,2019,VIRGINIA,VIRGINIA,31,49.2063492063492,980
Logistic Regression,2021,BAYLOR,GONZAGA,27,42.857142857142854,920
Decision Tree,2021,BAYLOR,IONA,11,17.46031746031746,120
Random Forest,2021,BAYLOR,BAYLOR,38,60.317460317460316,1320
Logistic Regression,2022,KANSAS,PURDUE,23,36.507936507936506,350
Decision Tree,2022,KANSAS,SAINT-PETERS,12,19.047619047619047,160
Random Forest,2022,KANSAS,ARIZONA,28,44.44444444444444,420
